               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.035886,            0.006919,          0.00054831,             0.85732,             0.84081,             0.86075,             0.51946,             0.03013,           0.0041239,          0.00018697,           0.0022285,           0.0022285,           0.0022285
                 159,             0.03519,            0.007046,          0.00062771,             0.86197,             0.83978,             0.86192,             0.52069,            0.030019,           0.0041162,          0.00018499,            0.002179,            0.002179,            0.002179
                 160,            0.035188,           0.0070904,          0.00045881,              0.8639,             0.83426,             0.86308,             0.52471,             0.02997,           0.0041039,          0.00018808,           0.0021295,           0.0021295,           0.0021295
                 161,            0.035556,           0.0071352,          0.00062239,              0.8681,             0.83949,             0.86649,             0.52307,            0.029968,           0.0041025,          0.00019624,             0.00208,             0.00208,             0.00208
                 162,            0.034904,           0.0070037,          0.00069898,             0.87008,             0.83908,             0.86799,             0.52138,            0.029953,           0.0041042,          0.00020336,           0.0020305,           0.0020305,           0.0020305
                 163,            0.035356,           0.0072851,          0.00059693,             0.86907,             0.84273,             0.86791,             0.52169,            0.029946,           0.0041066,          0.00020801,            0.001981,            0.001981,            0.001981
                 164,            0.035493,           0.0070225,          0.00047545,             0.86625,             0.84611,             0.86772,             0.52078,            0.029923,           0.0041032,          0.00020779,           0.0019315,           0.0019315,           0.0019315
                 165,            0.034934,           0.0069762,          0.00049655,             0.86376,             0.84452,             0.86834,             0.52159,            0.029828,           0.0040997,          0.00019532,            0.001882,            0.001882,            0.001882
                 166,            0.034895,           0.0070641,          0.00078008,              0.8677,             0.83262,             0.86748,             0.52186,            0.029857,           0.0041052,          0.00019197,           0.0018325,           0.0018325,           0.0018325
                 167,            0.035016,           0.0068274,          0.00060392,             0.86413,             0.83708,             0.86558,             0.52259,            0.029918,           0.0041028,          0.00019938,            0.001783,            0.001783,            0.001783
                 168,            0.034566,           0.0071887,          0.00056064,             0.86142,             0.84149,             0.86577,             0.52365,            0.029931,           0.0040985,          0.00020105,           0.0017335,           0.0017335,           0.0017335
                 169,             0.03445,           0.0070146,          0.00055524,             0.86627,             0.84318,             0.86462,             0.52506,            0.029941,           0.0040991,          0.00020906,            0.001684,            0.001684,            0.001684
                 170,            0.034254,           0.0069558,          0.00045708,             0.86374,             0.84554,             0.87026,             0.52935,            0.029904,           0.0040959,          0.00020222,           0.0016345,           0.0016345,           0.0016345
                 171,             0.03458,           0.0069627,          0.00045935,              0.8673,             0.84498,              0.8702,             0.52839,            0.029861,            0.004095,          0.00018943,            0.001585,            0.001585,            0.001585
                 172,            0.034302,           0.0068748,          0.00046316,              0.8697,              0.8473,              0.8709,             0.53041,             0.02981,           0.0040904,          0.00018547,           0.0015355,           0.0015355,           0.0015355
                 173,            0.034417,           0.0071016,          0.00054147,             0.87927,             0.84721,             0.87415,             0.52629,            0.029771,           0.0040923,          0.00017864,            0.001486,            0.001486,            0.001486
                 174,            0.034133,           0.0069554,          0.00054857,              0.8752,             0.84682,             0.87256,             0.52923,            0.029751,           0.0040933,          0.00017899,           0.0014365,           0.0014365,           0.0014365
                 175,             0.03463,           0.0068198,          0.00054177,             0.87477,             0.84602,             0.87269,             0.52825,            0.029717,           0.0040926,          0.00018801,            0.001387,            0.001387,            0.001387
                 176,            0.034394,           0.0070138,          0.00057606,             0.87306,             0.84682,             0.87319,             0.52665,            0.029673,           0.0040852,          0.00018951,           0.0013375,           0.0013375,           0.0013375
                 177,             0.03426,           0.0071765,          0.00044446,             0.87735,             0.84984,             0.87232,             0.52661,            0.029595,           0.0040762,          0.00017711,            0.001288,            0.001288,            0.001288
                 178,            0.034147,           0.0069587,          0.00047211,              0.8662,             0.84321,             0.86744,             0.52664,            0.029654,            0.004081,          0.00017198,           0.0012385,           0.0012385,           0.0012385
                 179,              0.0341,           0.0070262,          0.00042155,             0.87112,              0.8448,             0.86838,             0.52718,            0.029625,           0.0040774,           0.0001663,            0.001189,            0.001189,            0.001189
                 180,            0.034336,           0.0070835,          0.00057958,             0.87049,             0.84536,             0.87164,             0.53048,            0.029596,           0.0040706,          0.00016289,           0.0011395,           0.0011395,           0.0011395
                 181,            0.033515,           0.0068001,          0.00045793,             0.87241,             0.84666,             0.87193,             0.53197,            0.029568,           0.0040688,          0.00016015,             0.00109,             0.00109,             0.00109
                 182,             0.03414,           0.0067997,          0.00043928,             0.87038,             0.84483,             0.87053,             0.53526,            0.029519,           0.0040647,          0.00015636,           0.0010405,           0.0010405,           0.0010405
                 183,            0.033355,           0.0068136,          0.00042691,             0.87054,             0.84009,             0.86999,             0.53287,            0.029478,           0.0040612,          0.00015346,            0.000991,            0.000991,            0.000991
                 184,            0.033656,           0.0069833,          0.00037119,             0.87101,             0.84592,             0.87163,             0.53174,              0.0295,           0.0040573,          0.00015197,           0.0009415,           0.0009415,           0.0009415
                 185,            0.033875,           0.0068832,          0.00045649,              0.8703,             0.84081,             0.86833,             0.53115,            0.029544,           0.0040538,          0.00015154,            0.000892,            0.000892,            0.000892
                 186,            0.033437,           0.0067804,          0.00052164,             0.86372,             0.83916,             0.86658,             0.53143,            0.029586,           0.0040541,          0.00015057,           0.0008425,           0.0008425,           0.0008425
                 187,            0.033134,           0.0069639,          0.00050641,             0.86402,             0.84027,             0.86623,             0.52953,            0.029573,           0.0040535,          0.00015062,            0.000793,            0.000793,            0.000793
                 188,               0.033,           0.0069314,          0.00043712,             0.86349,             0.84264,              0.8668,             0.52809,            0.029542,            0.004055,          0.00015275,           0.0007435,           0.0007435,           0.0007435
                 189,             0.03247,            0.006705,          0.00041602,             0.86925,             0.84535,              0.8707,             0.52703,            0.029527,           0.0040546,          0.00014997,            0.000694,            0.000694,            0.000694
                 190,            0.033526,           0.0068172,          0.00060761,             0.87152,             0.84552,             0.87156,             0.52739,             0.02952,           0.0040543,          0.00014736,           0.0006445,           0.0006445,           0.0006445
                 191,            0.032677,           0.0067834,          0.00040539,             0.87044,              0.8461,             0.87105,             0.52613,            0.029518,           0.0040547,          0.00015052,            0.000595,            0.000595,            0.000595
                 192,            0.033612,           0.0069286,          0.00043052,             0.86897,             0.84363,             0.87067,             0.52567,            0.029524,            0.004057,          0.00015197,           0.0005455,           0.0005455,           0.0005455
                 193,            0.033088,           0.0069446,          0.00039682,              0.8726,             0.84644,              0.8731,             0.52678,            0.029512,           0.0040564,          0.00015188,            0.000496,            0.000496,            0.000496
                 194,            0.033191,           0.0068901,          0.00040413,             0.87422,             0.84819,             0.87616,             0.52666,            0.029509,           0.0040558,          0.00015165,           0.0004465,           0.0004465,           0.0004465
                 195,             0.03301,           0.0069578,          0.00047115,             0.87275,             0.84692,             0.87415,              0.5269,            0.029498,           0.0040533,          0.00015203,            0.000397,            0.000397,            0.000397
                 196,            0.033039,           0.0068586,          0.00048319,             0.87213,             0.84985,              0.8745,             0.52683,            0.029495,           0.0040542,          0.00015466,           0.0003475,           0.0003475,           0.0003475
                 197,            0.032861,           0.0068475,          0.00041293,              0.8698,             0.85039,             0.87421,             0.52792,            0.029479,            0.004052,          0.00015757,            0.000298,            0.000298,            0.000298
                 198,            0.032464,           0.0067052,          0.00037467,              0.8684,             0.84828,             0.87264,             0.52737,            0.029494,           0.0040525,          0.00015699,           0.0002485,           0.0002485,           0.0002485
                 199,            0.032537,           0.0066596,          0.00038545,             0.86889,             0.84989,             0.87245,              0.5285,            0.029505,            0.004052,          0.00015645,            0.000199,            0.000199,            0.000199
